Year,Method,PV
2020,Alipay (In store),848331.25
2020,Alipay (Online),4359.26
2020,Bill Payment,4170.0
2020,Credit Card,3235348.13000002
2020,Installment Payments,134170.0
2020,Internet Banking,120147.4
2020,Loyalty Points,2563.0
2020,QR Payments,67130.21
2020,TrueMoney Wallet,1168557.65000001
2021,Alipay (In store),3735.0
2021,Alipay (Online),620.0
2021,Bill Payment,
2021,Credit Card,2697911.63
2021,E-Wallet,100.0
2021,Installment Payments,
2021,Internet Banking,84789.0
2021,Loyalty Points,2119.0
2021,QR Payments,534782.8
2021,TrueMoney Wallet,600051.81
2022,Alipay (In store),2800.0
2022,Alipay (Online),600.0
2022,Credit Card,1182146.46
2022,E-Wallet,170.0
2022,Installment Payments,
2022,Internet Banking,30507.78
2022,Loyalty Points,
2022,QR Payments,815867.050000001
2022,TrueMoney Wallet,147063.37
