day,month,year,created_date,id,merchant_id,payment_method_id,charged_amount,captured,failure_code,card_id
1,1,2020,1/1/2020,68488939,16129,P001,null,FALSE,invalid_security_code,44685105
1,1,2020,1/1/2020,68474516,71206,P001,12,TRUE,null,43249411
1,1,2020,1/1/2020,68546102,61534,P001,37,TRUE,null,28514673
1,1,2020,1/1/2020,68520484,61534,P001,177,TRUE,null,38992215
1,1,2020,1/1/2020,68507667,3045,P001,1972.57,TRUE,null,44692929
1,1,2020,1/1/2020,68540205,16129,P001,250,TRUE,null,44698956
1,1,2020,1/1/2020,68494343,61534,P001,158,TRUE,null,41172071
1,1,2020,1/1/2020,68551630,61534,P001,210.75,TRUE,null,38609342
1,1,2020,1/1/2020,68545763,4646,P001,1000,TRUE,null,38801651
1,1,2020,1/1/2020,68490844,3045,P001,1288.28,TRUE,null,44685897
1,1,2020,1/1/2020,68514955,18250,P001,630,TRUE,null,44695772
1,1,2020,1/1/2020,68457338,37769,P002,160,TRUE,null,null
1,1,2020,1/1/2020,68552744,37768,P002,854.93,TRUE,null,null
1,1,2020,1/1/2020,68516781,37768,P002,null,FALSE,insufficient_fund,null
1,1,2020,1/1/2020,68513483,37769,P002,null,FALSE,null,null
1,1,2020,1/1/2020,68503655,16129,P004,null,FALSE,timeout,null
1,1,2020,1/1/2020,68452569,37768,P002,null,FALSE,null,null
1,1,2020,1/1/2020,68447741,37769,P002,null,FALSE,null,null
1,1,2020,1/1/2020,68474398,37768,P002,null,FALSE,null,null
1,1,2020,1/1/2020,68543501,37768,P002,null,FALSE,insufficient_fund,null
1,1,2020,1/1/2020,68465119,37768,P002,587.43,TRUE,null,null
2,1,2020,1/2/2020,68680345,61534,P001,31,TRUE,null,44016704
2,1,2020,1/2/2020,68618328,61534,P001,40,TRUE,null,43685390
2,1,2020,1/2/2020,68607248,13846,P001,null,FALSE,invalid_security_code,44732688
2,1,2020,1/2/2020,68671344,3045,P001,535.41,TRUE,null,44762905
2,1,2020,1/2/2020,68672847,17420,P001,754.53,TRUE,null,22973781
2,1,2020,1/2/2020,68680827,16129,P001,200,TRUE,null,44766829
2,1,2020,1/2/2020,68655686,43651,P001,null,FALSE,invalid_security_code,44755680
2,1,2020,1/2/2020,68568756,61534,P001,116,TRUE,null,37569231
