id,dispute_opened_date,Category,dispute_amount,charge_id
42234,2020-02-06,Commercial,630.0,68514955
42235,2020-02-11,Commercial,673.03,68601530
42236,2020-02-06,Fraud,747.93,68730567
42237,2020-01-17,Fraud,250.0,68848364
42238,2020-07-03,Commercial,1665.03,69008749
42239,2020-01-27,Commercial,1269.64,69067172
42240,2020-02-21,Fraud,1292.0,69266483
42241,2020-01-16,Fraud,1824.0,69371734
42242,2020-03-02,Commercial,5270.0,69455964
42243,2020-02-04,Commercial,2140.0,69582596
42244,2020-04-07,Fraud,2578.0,69719283
42245,2020-01-30,Fraud,799.0,69793549
42246,2020-03-10,Fraud,500.0,69882278
42247,2020-01-22,Fraud,384.67,69998735
42248,2020-01-27,Fraud,1134.0,70163349
42249,2020-01-30,Commercial,500.0,70290556
42250,2020-02-06,Fraud,872.0,70331053
42251,2020-03-02,Commercial,2183.17,70524116
42252,2020-03-12,Fraud,608.0,70634569
42253,2020-03-12,Fraud,744.0,70670409
42254,2020-08-20,Commercial,5203.21,70793541
42255,2020-02-27,Fraud,563.17,70993702
42256,2020-04-22,Fraud,670.0,71107864
42257,2020-02-05,Commercial,8227.0,71134840
42258,2020-02-27,Commercial,500.0,71296502
42259,2020-04-22,Fraud,333.0,71391845
42260,2020-04-03,Fraud,500.0,71498860
42261,2020-02-25,Commercial,559.0,71705498
42262,2020-02-27,Fraud,5000.0,71828340
42263,2020-03-31,Fraud,890.07,71858840
42264,2020-02-11,Commercial,202.93,72108312
42265,2020-05-22,Commercial,1317.29,72284648
42266,2020-04-30,Fraud,280.81,72397313
42267,2020-03-02,Commercial,3102.33,72447756
42268,2020-02-14,Commercial,2500.47,72614777
42269,2020-03-17,Commercial,379.0,72808934
42270,2020-02-17,Fraud,3236.01,72870390
42271,2020-03-18,Commercial,368.86,73054398
42272,2020-05-22,Commercial,355.0,73116783
42273,2020-03-05,Commercial,250.0,73230297
42274,2020-04-02,Commercial,2500.47,73344557
42275,2020-04-03,Commercial,4900.88,73451828
42276,2020-04-03,Commercial,5827.6,73648028
42277,2020-04-20,Fraud,905.22,73759210
42278,2020-03-10,Commercial,680.0,73893357
42279,2020-04-07,Commercial,479.0,73948330
42280,2020-03-23,Fraud,2061.94,74034921
42281,2020-03-06,Fraud,1185.23,74177351
42282,2020-06-02,Fraud,6980.0,74423263
42283,2020-06-15,Commercial,1244.03,74432977
42284,2020-02-27,Commercial,416.26,74571052
42285,2020-05-21,Fraud,1515.0,74699314
42286,2020-03-10,Fraud,1080.0,74869049
42287,2020-03-18,Fraud,1185.23,74909418
42288,2020-05-05,Commercial,2349.77,75044368
42289,2020-04-20,Fraud,693.36,75136151
42290,2020-03-20,Commercial,854.93,75338262
42291,2020-04-17,Fraud,2323.0,75472914
42292,2020-06-18,Fraud,640.49,75590506
42293,2020-04-14,Fraud,504.0,75726145
42294,2020-06-19,Commercial,7200.0,75899761
42295,2020-05-28,Fraud,1088.0,76048769
42296,2020-03-26,Fraud,1990.0,76295943
42297,2020-07-02,Commercial,5249.42,76364746
42298,2020-05-28,Fraud,1491.0,76566468
42299,2020-04-14,Fraud,1185.23,76597503
42300,2020-04-29,Commercial,2081.28,76795695
42301,2020-05-11,Fraud,1476.0,76879276
42302,2020-04-27,Fraud,1160.0,77005474
42303,2020-08-17,Commercial,7112.06,77089263
42304,2020-04-29,Fraud,41190.0,77220878
42305,2020-05-05,Fraud,884.0,77390105
42306,2020-03-30,Fraud,1851.0,77510111
42307,2020-04-17,Fraud,1635.0,77671123
42308,2020-04-24,Fraud,1246.0,77735167
42309,2020-04-07,Fraud,2310.54,77813328
42310,2020-04-17,Fraud,1400.0,78033722
42311,2020-04-07,Fraud,311.0,78097114
42312,2020-06-04,Commercial,202.23,78206244
42313,2020-04-20,Fraud,1415.0,78392677
42314,2020-06-11,Fraud,1074.0,78541085
42315,2020-04-20,Fraud,1234.0,78652656
42316,2020-04-20,Fraud,1086.0,78748061
42317,2020-07-03,Fraud,1913.0,78928006
42318,2020-04-20,Fraud,687.0,78953229
42319,2020-05-05,Fraud,422.0,79176000
42320,2020-06-15,Commercial,500.0,79364892
42321,2020-05-15,Fraud,1454.0,79559283
42322,2020-04-17,Fraud,10000.0,79625687
42323,2020-04-09,Fraud,674.0,79812843
42324,2020-05-26,Fraud,4860.0,79839174
42325,2020-04-24,Commercial,753.11,80099116
42326,2020-04-27,Commercial,3783.53,80268974
42327,2020-05-11,Commercial,1495.0,80389915
42328,2020-07-30,Fraud,794.48,80495248
42329,2020-06-26,Fraud,500.0,80711071
42330,2020-05-11,Commercial,3260.0,80792993
42331,2020-05-07,Commercial,757.56,80940595
42332,2020-07-20,Commercial,2567.37,81094986
42333,2020-07-09,Fraud,1150.0,81206005
42334,2020-04-27,Fraud,3955.4,81286983
42335,2020-08-03,Commercial,2990.0,81417089
42336,2020-04-24,Fraud,1199.0,81535791
42337,2020-06-17,Commercial,378.0,81646193
42338,2020-07-30,Fraud,640.93,81762652
42339,2020-06-04,Commercial,811.0,81917823
42340,2020-05-20,Commercial,319.93,82045723
42341,2020-05-20,Commercial,1284.48,82205670
42342,2020-06-12,Fraud,480.43,82385596
42343,2020-06-26,Commercial,1739.0,82523791
42344,2020-06-02,Commercial,1436.0,82587595
42345,2020-05-25,Commercial,999.0,82687431
42346,2020-05-22,Commercial,46149.0,82861961
42347,2020-06-17,Commercial,533.79,83007804
42348,2020-05-08,Fraud,3245.31,83195296
42349,2020-05-22,Commercial,51397.0,83289941
42350,2020-09-21,Commercial,200.0,83335948
42351,2020-05-18,Fraud,3295.0,83495518
42352,2020-08-03,Fraud,966.0,83628757
42353,2020-05-11,Commercial,279.0,83838714
42354,2020-05-20,Commercial,4630.0,84014680
42355,2020-05-15,Fraud,1527.96,84082530
42356,2020-06-23,Fraud,3821.98,84302013
42357,2020-05-15,Fraud,1675.0,84516705
23134,2020-05-20,Fraud,5312.43,84743090
23135,2020-05-18,Commercial,1603.93,84930973
23136,2020-08-05,Commercial,8500.0,85016560
23137,2020-05-29,Fraud,1551.0,85183433
23138,2020-07-02,Fraud,3600.0,85270528
23139,2020-09-01,Fraud,2307.0,85376272
23140,2020-06-17,Commercial,603.93,85489543
23141,2020-05-25,Commercial,650.56,85634300
23142,2020-06-15,Fraud,640.93,85808950
23143,2020-05-22,Fraud,1217.46,85899918
23144,2020-07-29,Commercial,202.23,85939064
23145,2020-08-17,Fraud,992.0,86144365
23146,2020-09-01,Commercial,2000.0,86190967
23147,2020-05-27,Fraud,1293.0,86397616
23148,2020-06-02,Commercial,533.93,86533041
23149,2020-06-08,Commercial,497.0,86647740
23150,2020-09-02,Fraud,1000.0,86776607
23151,2020-06-25,Commercial,1916.0,86843359
23152,2020-07-15,Fraud,299.0,87029180
23153,2020-07-20,Commercial,750.0,87121492
23154,2020-06-02,Fraud,30000.0,87257113
23155,2020-06-26,Fraud,250.0,87361132
23156,2020-06-19,Fraud,10394.0,87621424
23157,2020-08-11,Commercial,90112.0,87688487
23158,2020-07-15,Fraud,427.0,87885400
23159,2020-07-15,Fraud,382.0,88032849
23160,2020-06-24,Fraud,873.0,88191276
23161,2020-06-29,Commercial,1761.23,88302638
23162,2020-08-04,Fraud,2821.5,88432401
23163,2020-07-15,Fraud,507.0,88636676
23164,2020-07-20,Fraud,1108.45,88843323
23165,2020-06-17,Fraud,1131.0,88922617
23166,2020-07-15,Fraud,205.0,89066532
23167,2020-07-31,Fraud,293.0,89195181
23168,2020-06-29,Commercial,7665.0,89268734
23169,2020-07-21,Commercial,2345.6,89425010
