card_id,card_country
532075,Thailand
3618236,Thailand
3676168,Thailand
4365991,Thailand
4488194,Thailand
4782604,Thailand
4860103,Thailand
4891748,Thailand
4953176,Thailand
4985308,Thailand
4994495,Thailand
5023659,Thailand
5087812,Thailand
5122760,Thailand
5175519,Thailand
5196259,Thailand
5308639,Thailand
5311317,Thailand
5329698,Thailand
5436044,Thailand
5437720,Thailand
5477129,Thailand
5528723,Thailand
5564550,Thailand
5587914,Thailand
5692701,Thailand
5823488,Thailand
5838105,Thailand
5860078,Thailand
5905541,Thailand
5955994,Thailand
6026973,Thailand
6053838,Thailand
6106321,Thailand
6143310,Thailand
6170146,Thailand
6223659,Thailand
6245712,United States of America
6300801,Thailand
6347295,Thailand
6429059,Thailand
6461307,Thailand
6609713,Thailand
6777368,Thailand
6796095,Thailand
6942705,Thailand
6997726,Thailand
7028092,Thailand
7118367,Thailand
7169474,Thailand
7189527,Thailand
7251507,Thailand
7363519,Thailand
7390811,Thailand
7399251,Thailand
7404922,Thailand
7517338,Thailand
7529834,Thailand
7561744,United States of America
7587386,Thailand
7688361,Thailand
7698197,Thailand
7736157,Thailand
7768418,Thailand
7910704,Thailand
8055347,Thailand
8080127,Thailand
8129026,Thailand
8190459,Thailand
8254141,Thailand
8341966,United States of America
8394009,Thailand
8473375,Thailand
8511569,Thailand
8512593,Thailand
8514845,Thailand
8545470,Thailand
8758314,Thailand
8803120,Thailand
8806527,Thailand
8813118,Thailand
8853498,Thailand
8873710,Thailand
8912179,Thailand
8993303,Thailand
9032543,Thailand
9082499,Thailand
9175775,Thailand
9183832,Thailand
9214337,Thailand
9226481,Thailand
9244708,Thailand
9307560,Thailand
9376773,Thailand
9460444,Thailand
9489126,Thailand
9513572,Thailand
9519344,Thailand
9607934,Thailand
9632346,Thailand
9634955,Thailand
9706794,Thailand
9757794,Thailand
9842578,Thailand
9914524,Thailand
9951618,Thailand
10029108,Thailand
10221008,Thailand
10291392,Thailand
10297976,Thailand
10416589,Thailand
10506597,Thailand
10551979,Thailand
10559585,Thailand
10603804,Thailand
10627372,Thailand
10668493,United States of America
10708357,Thailand
10714912,Thailand
10716707,Thailand
10729272,Thailand
10768430,Thailand
10779549,Thailand
10802739,Thailand
10880024,Thailand
10989839,Thailand
10998847,Guatemala
11034639,Thailand
11063727,Thailand
11105594,Thailand
11134425,Thailand
11153747,Thailand
11189593,Thailand
11222022,Thailand
11430016,Thailand
11446092,Thailand
11504433,Thailand
11583058,Thailand
11639468,Thailand
11656915,Thailand
11679040,United States of America
11750135,Thailand
11794027,Thailand
11921003,Thailand
11981710,Thailand
12058635,Thailand
12216487,United States of America
12243679,Thailand
12347367,Thailand
12423357,Thailand
12428708,Thailand
12476312,Thailand
12487260,Thailand
12635363,United States of America
12646648,Thailand
12746553,Thailand
12868782,Thailand
12872952,Thailand
12926543,Thailand
12942186,Thailand
12966898,Thailand
13023629,Thailand
13198504,Thailand
13206831,Thailand
13225637,Thailand
13261430,Thailand
13279588,Thailand
13363800,Thailand
13402743,Thailand
13452219,Thailand
13459854,Thailand
13663982,Thailand
13715794,China
13864650,Thailand
13948574,Thailand
13953627,Thailand
13955727,China
14026100,Thailand
14149175,Thailand
14234972,Guatemala
14260698,China
14273011,Thailand
14278854,Thailand
14327614,Thailand
14372285,Thailand
14383271,Thailand
14523176,Thailand
14592076,Thailand
14649526,Thailand
14769167,Thailand
14908558,Thailand
14916555,Thailand
15061376,Thailand
15085379,Thailand
15106631,Thailand
15132027,United States of America
15135716,Thailand
15220609,Thailand
15238843,United States of America
15259102,Thailand
15270159,Thailand
15307156,Guatemala
15312959,Thailand
15362186,Thailand
15447684,Thailand
15464231,Thailand
15502924,Thailand
15504845,Thailand
15517518,Thailand
15544716,Thailand
15547589,Thailand
15554575,Thailand
15582245,United States of America
15588133,Thailand
15604486,Thailand
15703639,Thailand
15710444,Thailand
15727248,Thailand
15730917,Thailand
15756878,Thailand
15868287,United States of America
15880360,Thailand
15896218,United States of America
15949436,Thailand
15994376,Thailand
16017706,Thailand
16049804,United States of America
16078564,Thailand
16102019,United States of America
16149795,Thailand
16149965,Thailand
16176052,Thailand
16394062,Thailand
16411250,Thailand
16439831,Thailand
16452121,Thailand
16498250,Thailand
16531330,Thailand
16537085,Thailand
16554847,Thailand
16601667,Thailand
16628556,Thailand
16675897,Thailand
16699643,Thailand
16734639,Thailand
16831438,Thailand
16887647,Thailand
16933051,Thailand
16963398,Thailand
16965805,Thailand
17025490,Thailand
17181587,United States of America
17188271,Thailand
17206195,Thailand
17252652,Thailand
17253502,Thailand
17288414,Thailand
17296584,Thailand
17305948,Thailand
17402553,Thailand
17444086,Thailand
17494555,Thailand
17521007,Thailand
17537985,Thailand
17556463,Thailand
17590983,Thailand
17591552,Thailand
17608037,Thailand
17612446,Thailand
17653192,Thailand
17658813,Thailand
17721594,Thailand
17735282,Thailand
17740486,Thailand
17761952,Thailand
17816861,Thailand
17897945,United States of America
17919550,Thailand
17921774,Thailand
17925880,Thailand
17941121,Thailand
18045995,Thailand
18104030,Thailand
18119278,Thailand
18136563,Thailand
18180388,Thailand
18187217,Thailand
18211884,Thailand
18240554,Thailand
18313509,Thailand
18323730,Thailand
18329366,Thailand
18340992,Thailand
18351177,Thailand
18360846,Thailand
18467323,Thailand
18579010,Thailand
18581418,Thailand
18611756,Thailand
18621366,Thailand
18622691,Thailand
18671897,Thailand
18706927,Thailand
18717890,Thailand
18740441,United States of America
18766883,Thailand
18793601,Thailand
18825070,Thailand
18834125,Thailand
18876279,Thailand
18881539,Thailand
18894397,Thailand
18896186,Thailand
18914569,Thailand
18989169,Thailand
19001235,Thailand
19092251,Thailand
19093221,Thailand
19094496,Thailand
19120246,Thailand
19121582,Thailand
19141910,Thailand
19144974,Thailand
19155687,Thailand
19232543,United States of America
19246326,Thailand
19307243,Thailand
19307438,Thailand
19347019,Thailand
19349318,Thailand
19409667,Thailand
19413222,Thailand
19424729,Thailand
19445791,Thailand
19524577,Thailand
19528797,Thailand
19537932,Thailand
19564648,Thailand
19566059,Thailand
19600026,United States of America
19631663,Thailand
19634246,Thailand
19701799,Thailand
19728415,Thailand
19754727,Thailand
19773161,Thailand
19801698,Thailand
19825795,Thailand
19830989,Thailand
19837559,Thailand
19838768,Thailand
19875388,Thailand
19884656,Thailand
19891673,Thailand
19905913,Thailand
19915280,Thailand
19948362,Thailand
19948930,Thailand
19962163,Thailand
19976644,Thailand
20000524,Thailand
20012820,Thailand
20049169,Thailand
20071539,Thailand
20073268,Guatemala
20091503,Thailand
20117469,Thailand
20148367,Thailand
20153134,Thailand
20236355,Thailand
20256099,Thailand
20258814,Thailand
20274706,Thailand
20301649,Thailand
20305949,Thailand
20325529,Thailand
20334248,Thailand
20378477,China
20384845,Thailand
20506187,Thailand
20516978,Guatemala
20533558,Thailand
20534782,Thailand
20575840,Thailand
20582098,Thailand
20603755,Thailand
20633089,Thailand
20659205,Thailand
20662075,Thailand
20662080,Thailand
20671078,United States of America
20764042,Thailand
20807862,Thailand
20838069,Thailand
20846977,Thailand
20879302,Thailand
20891710,Thailand
20892243,Thailand
20898619,Thailand
20924821,Thailand
20935953,Thailand
20947820,Thailand
20956359,Thailand
21017588,Thailand
21045177,United States of America
21087782,Thailand
21115763,Thailand
21135007,Thailand
21154296,United States of America
21169025,United States of America
21197310,Thailand
21217531,Thailand
21227466,Thailand
21254121,Thailand
21271562,Thailand
21297597,Thailand
21299074,Thailand
21313881,Thailand
21318831,Thailand
21348836,Thailand
21370525,Thailand
21371718,Thailand
21417223,Thailand
21420167,Thailand
21452594,Thailand
21462276,Thailand
21465325,Thailand
21470383,Thailand
21497908,Thailand
21503894,Thailand
21510259,Thailand
21522844,Thailand
21525748,Thailand
21553094,Thailand
21560617,Thailand
21574177,Thailand
21577361,Thailand
21595309,Thailand
21597696,Thailand
21633502,Thailand
21644640,Thailand
21663603,Thailand
21672292,Thailand
21673700,Thailand
21683864,Thailand
21688419,Thailand
21756186,Thailand
21776647,Thailand
21823909,Thailand
21827288,Thailand
21842819,Thailand
21876859,Thailand
21918421,Thailand
21950211,Thailand
21958679,Thailand
21977501,Thailand
21988403,Thailand
22176853,Guatemala
22181678,Thailand
22190477,Thailand
22193297,Thailand
22237700,China
22245850,Thailand
22326287,Thailand
22455390,Thailand
22469849,United States of America
22482160,Thailand
22506157,Thailand
22519258,Thailand
22531146,Thailand
22532201,Thailand
22540309,Thailand
22550912,Thailand
22607895,Thailand
22610928,Thailand
22643779,Thailand
22645055,Thailand
22650523,Thailand
22700231,United States of America
22738237,Thailand
22763218,Thailand
22765625,Thailand
22806603,Thailand
22808392,Guatemala
22808487,Thailand
22849818,Thailand
22855224,Thailand
22860412,Thailand
22876136,Thailand
22887761,Thailand
22903643,Thailand
22904793,Thailand
22906303,China
22907285,Thailand
22917240,Thailand
22927724,Thailand
22934751,Thailand
22940961,Thailand
22944091,Thailand
22971432,Thailand
22973781,Thailand
22980442,Thailand
23022910,THAILAND
23042295,Thailand
23053811,Thailand
23073987,Thailand
23079646,Thailand
23097461,Thailand
23114216,Thailand
23129805,Thailand
23143094,United States of America
23158897,Thailand
23161116,Thailand
23181429,Thailand
23182778,Thailand
23204008,Thailand
23221172,Thailand
23223295,Thailand
23233427,Thailand
23235815,Thailand
23236295,Thailand
23264594,China
23267941,Thailand
23345242,Thailand
23406454,Thailand
23455879,Thailand
23460051,Thailand
23589142,Thailand
23590436,Thailand
23612289,Thailand
23615516,Thailand
23659741,Thailand
23679669,Thailand
23733265,Thailand
23735288,Thailand
23764180,Thailand
23825389,China
23863191,Thailand
23881522,China
23881651,Thailand
23911556,Thailand
23913519,Thailand
23916086,Thailand
23952948,Thailand
23958982,Thailand
23976614,Thailand
24026033,Thailand
24036838,Thailand
24055227,Thailand
24064478,Thailand
24129222,Thailand
24154172,Thailand
24163636,Thailand
24167805,Thailand
24184423,Thailand
24214124,Thailand
24258613,Thailand
24266349,United States of America
24270485,Thailand
24275645,Thailand
24282989,United States of America
24322590,United States of America
24379479,Thailand
24389608,Thailand
24430712,China
