merchant_id,merchant_name,merchant_category,live_created_date
293,GoodHope,PROFESSIONAL SERVICES,2014-11-19
422,CornerDigi,DIGITAL GOODS AND STATIONERY,2014-12-09
616,GoldenRing,FINANCIAL SERVICES,2015-01-08
1010,Pharma,MEDICAL CARE AND EQUIPMENT,2015-03-23
1018,EagleCall,TELECOMMUNICATION,2015-03-24
1209,Cereal4You,FOOD AND BEVERAGE,2015-04-17
1236,PizzaHub,FOOD AND BEVERAGE,2015-04-22
1314,MightyForce,CHARITY AND NGOs,2015-05-05
1665,RecordEase,PROFESSIONAL SERVICES,2015-06-05
1815,HeyTran,TRANSPORTATION,2015-06-25
1839,Motorhomy,AUTOMOBILES AND VEHICLES,2015-06-29
1929,TheUncommon,PROFESSIONAL SERVICES,2015-07-16
2124,ExpressD,TRANSPORTATION,2015-08-21
2369,Matter Bar,FOOD AND BEVERAGE,2015-09-17
2447,GoodGreen,FOOD AND BEVERAGE,2015-09-29
2723,Queens,PROFESSIONAL SERVICES,2015-11-03
2750,Deco,TELECOMMUNICATION,2015-11-05
2786,FarAway,PROFESSIONAL SERVICES,2015-11-09
2856,Stylee,CLOTHING OUTLETS,2015-11-17
2920,Kato,DIGITAL GOODS AND STATIONERY,2015-11-26
2971,Wild Pansy,TRANSPORTATION,2015-12-01
3045,FlyingCable,TELECOMMUNICATION,2015-12-08
3553,UrbanConnect,PROFESSIONAL SERVICES,2016-02-03
3619,FarmTransform,PROFESSIONAL SERVICES,2016-02-08
4478,Wish Care,PERSONAL CARE,2016-04-12
4547,FundGlobe,CHARITY AND NGOs,2016-04-19
4574,Hilltop,DIGITAL GOODS AND STATIONERY,2016-04-21
4646,Pipe Palace,DIGITAL GOODS AND STATIONERY,2016-04-28
4964,Mi Mi Bike,AUTOMOBILES AND VEHICLES,2016-05-16
5049,First Flip The Shop,GENERAL GOODS STORES,2016-05-23
5542,Homelearner,EDUCATION SERVICES,2016-06-21
8448,Tendenza,GENERAL GOODS STORES,2016-07-12
8616,ColoFest,TRANSPORTATION,2016-07-21
8724,Two Owls café,Food retail and service,2016-07-26
8803,Olivia Vehicles,AUTOMOBILES AND VEHICLES,2016-07-29
9034,River & pond Care,PERSONAL CARE,2016-08-11
9241,IndyFlyer,Travel,2016-08-26
9287,Escotten Sky,AMUSEMENT AND ENTERTAINMENT,2016-08-29
9352,Widee,AMUSEMENT AND ENTERTAINMENT,2016-09-02
9441,AlphaRoots,CHARITY AND NGOs,2016-09-08
9548,Hidden Drive,TRANSPORTATION,2016-09-13
9755,Silver Sandbox,ARTS AND HOBBIES,2016-09-26
9967,UrbanHues,CHARITY AND NGOs,2016-10-07
10440,Chiang Tai,GENERAL GOODS STORES,2016-10-31
11155,SuperFresh,PROFESSIONAL SERVICES,2016-11-28
11382,The Hot Kitchen,FOOD AND BEVERAGE,2016-12-06
11699,Babes Online videos,AMUSEMENT AND ENTERTAINMENT,2016-12-18
11757,Cherished electrical travaling,TRANSPORTATION,2016-12-20
12278,Mini Chic Cloth,CLOTHING OUTLETS,2017-01-10
12422,Seattle Spice Gallery,ARTS AND HOBBIES,2017-01-16
13486,Juneberry Boutique Shop,GENERAL GOODS STORES,2017-02-23
13764,Shopaholic,FINANCIAL SERVICES,2017-03-06
13789,Nature Harvest,PROFESSIONAL SERVICES,2017-03-07
13846,ZeperonMeet,TELECOMMUNICATION,2017-03-08
14032,Click Mall,GENERAL GOODS STORES,2017-03-14
14110,Worldtrek,Travel,2017-03-17
14218,Seamusly,PROFESSIONAL SERVICES,2017-03-21
14563,GiftAt,AMUSEMENT AND ENTERTAINMENT,2017-04-03
14925,Treasure Box,SPORTS OUTLETS,2017-04-18
15322,peacebeam.store,PROFESSIONAL SERVICES,2017-05-02
15490,Mind Curves,TRANSPORTATION,2017-05-08
15741,WorlCon,TELECOMMUNICATION,2017-05-17
15748,Magic Cross,AMUSEMENT AND ENTERTAINMENT,2017-05-17
15914,Urban Crest,FOOD AND BEVERAGE,2017-05-24
15938,LawsConsult,PROFESSIONAL SERVICES,2017-05-25
16032,Azure cuts,EDUCATION SERVICES,2017-05-29
16129,Better Land,TELECOMMUNICATION,2017-06-01
16413,Golden City,"HOME, FURNISHINGS AND ELECTRONICS",2017-06-08
16831,Happy Salmon,PROFESSIONAL SERVICES,2017-06-19
17419,BillElectro,UTILITIES,2017-06-30
17420,Earthbound,PROFESSIONAL SERVICES,2017-06-30
17693,Web Mall,PROFESSIONAL SERVICES,2017-07-05
18194,Star clothing,CLOTHING OUTLETS,2017-07-17
18250,OldieArcade,AMUSEMENT AND ENTERTAINMENT,2017-07-18
